id_a,id_b,friendship,proximity,sms,calls
18,47,friend,close,not_texted,not_called
16,28,friend,close,not_texted,not_called
1,35,not_friend,not_close,not_texted,not_called
59,69,not_friend,close,not_texted,not_called
59,68,friend,not_close,not_texted,called
31,35,not_friend,close,not_texted,not_called
28,66,friend,close,not_texted,not_called
34,40,not_friend,not_close,not_texted,not_called
47,48,friend,close,not_texted,not_called
59,81,not_friend,not_close,not_texted,not_called
16,77,not_friend,not_close,not_texted,not_called
49,76,friend,not_close,not_texted,not_called
7,78,not_friend,not_close,not_texted,not_called
18,67,friend,close,not_texted,called
21,44,friend,close,not_texted,called
9,37,friend,not_close,not_texted,not_called
55,76,friend,not_close,not_texted,not_called
61,84,not_friend,not_close,not_texted,not_called
21,39,not_friend,not_close,not_texted,not_called
16,35,not_friend,close,not_texted,not_called
51,77,not_friend,not_close,not_texted,not_called
9,57,friend,not_close,not_texted,not_called
7,67,not_friend,close,not_texted,not_called
16,60,not_friend,not_close,not_texted,not_called
49,61,not_friend,not_close,not_texted,not_called
1,19,not_friend,close,not_texted,not_called
7,47,not_friend,close,not_texted,not_called
23,49,not_friend,not_close,not_texted,not_called
76,81,not_friend,not_close,not_texted,not_called
24,53,not_friend,not_close,not_texted,not_called
13,69,not_friend,not_close,not_texted,not_called
63,65,not_friend,not_close,not_texted,not_called
17,81,not_friend,not_close,not_texted,not_called
15,33,not_friend,not_close,not_texted,not_called
23,63,not_friend,not_close,not_texted,not_called
24,79,not_friend,not_close,not_texted,not_called
3,84,not_friend,not_close,not_texted,not_called
9,75,not_friend,not_close,not_texted,not_called
18,76,friend,close,not_texted,not_called
29,49,not_friend,close,not_texted,not_called
9,19,friend,not_close,not_texted,not_called
15,62,friend,close,not_texted,not_called
16,17,not_friend,not_close,not_texted,not_called
20,49,friend,not_close,not_texted,not_called
13,18,not_friend,not_close,not_texted,not_called
39,83,not_friend,not_close,not_texted,not_called
73,76,friend,not_close,not_texted,not_called
51,60,not_friend,not_close,not_texted,not_called
61,76,not_friend,not_close,not_texted,not_called
55,56,not_friend,not_close,not_texted,not_called
71,80,friend,not_close,not_texted,not_called
12,84,friend,not_close,not_texted,not_called
18,58,not_friend,close,not_texted,not_called
4,39,not_friend,not_close,not_texted,not_called
24,40,not_friend,not_close,not_texted,not_called
65,70,friend,close,not_texted,not_called
34,53,not_friend,not_close,not_texted,not_called
48,50,friend,not_close,not_texted,not_called
17,57,not_friend,not_close,not_texted,not_called
34,37,not_friend,not_close,not_texted,not_called
1,77,not_friend,not_close,not_texted,not_called
5,63,not_friend,not_close,not_texted,not_called
2,53,not_friend,not_close,not_texted,not_called
10,59,not_friend,not_close,not_texted,not_called
34,73,friend,not_close,not_texted,not_called
1,17,not_friend,not_close,not_texted,not_called
2,84,not_friend,not_close,not_texted,not_called
10,84,friend,not_close,not_texted,not_called
6,43,friend,close,not_texted,not_called
6,54,friend,not_close,not_texted,not_called
72,80,not_friend,not_close,not_texted,not_called
8,32,friend,close,not_texted,not_called
19,44,friend,close,not_texted,called
11,18,friend,close,not_texted,not_called
25,79,not_friend,not_close,not_texted,not_called
63,81,not_friend,not_close,not_texted,not_called
42,68,friend,not_close,not_texted,not_called
48,69,not_friend,close,not_texted,not_called
13,46,not_friend,not_close,not_texted,not_called
16,82,not_friend,not_close,not_texted,not_called
49,83,not_friend,not_close,not_texted,not_called
7,50,not_friend,not_close,not_texted,not_called
11,43,not_friend,close,not_texted,not_called
14,76,friend,not_close,not_texted,not_called
36,78,friend,not_close,not_texted,not_called
65,71,friend,close,not_texted,not_called
2,33,not_friend,not_close,not_texted,not_called
56,74,not_friend,not_close,not_texted,not_called
5,70,friend,close,not_texted,not_called
28,71,friend,not_close,not_texted,not_called
2,44,not_friend,close,not_texted,not_called
17,40,not_friend,not_close,not_texted,not_called
80,81,not_friend,not_close,not_texted,not_called
24,33,friend,not_close,not_texted,not_called
8,14,friend,not_close,not_texted,not_called
19,53,friend,not_close,not_texted,not_called
1,51,not_friend,close,not_texted,not_called
23,54,friend,not_close,not_texted,not_called
14,32,friend,close,not_texted,not_called
41,83,not_friend,not_close,not_texted,not_called
16,59,not_friend,close,not_texted,not_called
49,58,not_friend,not_close,not_texted,not_called
46,50,friend,not_close,not_texted,not_called
51,55,friend,not_close,not_texted,called
14,34,not_friend,close,not_texted,not_called
34,39,not_friend,not_close,not_texted,not_called
51,80,not_friend,not_close,not_texted,not_called
9,40,friend,not_close,not_texted,not_called
39,72,friend,not_close,not_texted,not_called
23,30,friend,close,not_texted,not_called
19,62,friend,close,not_texted,not_called
11,32,not_friend,close,not_texted,not_called
14,58,not_friend,close,not_texted,not_called
11,46,not_friend,close,not_texted,not_called
8,54,friend,not_close,not_texted,not_called
7,21,friend,close,not_texted,not_called
23,24,not_friend,not_close,not_texted,not_called
58,69,not_friend,close,not_texted,not_called
64,83,not_friend,not_close,not_texted,not_called
68,78,friend,not_close,not_texted,not_called
11,61,not_friend,close,not_texted,not_called
52,80,friend,not_close,not_texted,not_called
21,70,friend,close,not_texted,not_called
27,55,not_friend,close,not_texted,not_called
23,51,friend,close,not_texted,not_called
69,84,not_friend,not_close,not_texted,not_called
57,82,not_friend,not_close,not_texted,not_called
17,19,not_friend,not_close,not_texted,not_called
26,58,not_friend,not_close,not_texted,not_called
50,76,not_friend,not_close,not_texted,not_called
30,37,not_friend,not_close,not_texted,not_called
56,59,not_friend,close,not_texted,not_called
6,16,not_friend,not_close,not_texted,not_called
25,43,not_friend,not_close,not_texted,not_called
35,67,not_friend,close,not_texted,not_called
73,82,not_friend,not_close,not_texted,not_called
47,80,not_friend,not_close,not_texted,not_called
6,36,friend,close,not_texted,not_called
75,81,not_friend,not_close,not_texted,not_called
22,40,friend,not_close,not_texted,called
54,75,friend,not_close,not_texted,not_called
36,55,not_friend,not_close,not_texted,not_called
17,75,not_friend,not_close,not_texted,not_called
45,61,not_friend,not_close,not_texted,not_called
31,81,not_friend,not_close,not_texted,not_called
5,55,not_friend,close,not_texted,not_called
44,80,friend,not_close,not_texted,called
14,16,not_friend,close,not_texted,not_called
60,77,friend,not_close,not_texted,not_called
13,51,not_friend,not_close,not_texted,not_called
30,39,not_friend,not_close,not_texted,not_called
6,38,friend,not_close,not_texted,not_called
33,68,not_friend,not_close,not_texted,not_called
22,62,not_friend,close,not_texted,not_called
46,47,friend,close,not_texted,not_called
2,15,not_friend,close,not_texted,not_called
33,64,not_friend,not_close,not_texted,not_called
30,40,friend,not_close,not_texted,not_called
22,71,friend,close,not_texted,called
71,73,friend,not_close,not_texted,not_called
6,76,friend,not_close,not_texted,not_called
27,39,not_friend,not_close,not_texted,not_called
30,71,friend,close,not_texted,called
17,35,friend,not_close,not_texted,not_called
38,68,friend,not_close,not_texted,not_called
45,58,not_friend,not_close,not_texted,not_called
38,44,friend,not_close,not_texted,not_called
39,64,not_friend,not_close,not_texted,not_called
19,84,friend,not_close,not_texted,not_called
11,50,not_friend,not_close,not_texted,not_called
27,78,not_friend,not_close,not_texted,not_called
26,67,not_friend,close,not_texted,not_called
8,43,friend,close,not_texted,not_called
49,54,not_friend,not_close,not_texted,not_called
4,54,not_friend,not_close,not_texted,not_called
60,68,friend,close,not_texted,not_called
